title,description,thumbnail
Fiasco,"Finalist for the Pulitzer Prize One of the Washington Post Book World's 10 Best Books of the Year One of Time's 10 Best Books of the Year USA Today's Nonfiction Book of the Year A New York Times Notable Book The definitive account of the American military's tragic experience in Iraq Fiasco is a masterful reckoning with the planning and execution of the American military invasion and occupation of Iraq through mid-2006, now with a postscript on recent developments. Ricks draws on the exclusive cooperation of an extraordinary number of American personnel, including more than one hundred senior officers, and access to more than 30,000 pages of official documents, many of them never before made public. Tragically, it is an undeniable account—explosive, shocking, and authoritative—of unsurpassed tactical success combined with unsurpassed strategic failure that indicts some of America's most powerful and honored civilian and military leaders.",http://books.google.com/books/content?id=JuWlzq_2IVwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
I Feel Bad About My Neck,"A collection of essays offers a humorous look at the ups and downs of being a woman of a certain age, discussing the tribulations of maintenance and trying to stop the clock, menopause, and empty nests.",http://books.google.com/books/content?id=Gvmume1CHy4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Culture Warrior,"Examines the cultural war in America between those who embrace traditional values and those who want to transform America into a ""secular-progressive"" nation, discussing such topics as the media, the War on Terror, religion, and self-interest.",http://books.google.com/books/content?id=JIVQa4uIpPAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
States of Denial,"Blocking out, turning a blind eye, shutting off, not wanting to know, wearing blinkers, seeing what we want to see ... these are all expressions of 'denial'. Alcoholics who refuse to recognize their condition, people who brush aside suspicions of their partner's infidelity, the wife who doesn't notice that her husband is abusing their daughter - are supposedly 'in denial'. Governments deny their responsibility for atrocities, and plan them to achieve 'maximum deniability'. Truth Commissions try to overcome the suppression and denial of past horrors. Bystander nations deny their responsibility to intervene. Do these phenomena have anything in common? When we deny, are we aware of what we are doing or is this an unconscious defence mechanism to protect us from unwelcome truths? Can there be cultures of denial? How do organizations like Amnesty and Oxfam try to overcome the public's apparent indifference to distant suffering and cruelty? Is denial always so bad - or do we need positive illusions to retain our sanity? States of Denial is the first comprehensive study of both the personal and political ways in which uncomfortable realities are avoided and evaded. It ranges from clinical studies of depression, to media images of suffering, to explanations of the 'passive bystander' and 'compassion fatigue'. The book shows how organized atrocities - the Holocaust and other genocides, torture, and political massacres - are denied by perpetrators and by bystanders, those who stand by and do nothing.",http://books.google.com/books/content?id=wUWaAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Innocent Man,"#1 NEW YORK TIMES BESTSELLER • John Grisham’s first work of nonfiction: a true crime story that will terrify anyone who believes in the presumption of innocence. NOW A NETFLIX ORIGINAL DOCUMENTARY SERIES “Both an American tragedy and [Grisham’s] strongest legal thriller yet, all the more gripping because it happens to be true.”—Entertainment Weekly In the town of Ada, Oklahoma, Ron Williamson was going to be the next Mickey Mantle. But on his way to the Big Leagues, Ron stumbled, his dreams broken by drinking, drugs, and women. Then, on a winter night in 1982, not far from Ron’s home, a young cocktail waitress named Debra Sue Carter was savagely murdered. The investigation led nowhere. Until, on the flimsiest evidence, it led to Ron Williamson. The washed-up small-town hero was charged, tried, and sentenced to death—in a trial littered with lying witnesses and tainted evidence that would shatter a man’s already broken life, and let a true killer go free. Impeccably researched, grippingly told, filled with eleventh-hour drama, The Innocent Man reads like a page-turning legal thriller. It is a book no American can afford to miss. Praise for The Innocent Man “Grisham has crafted a legal thriller every bit as suspenseful and fast-paced as his bestselling fiction.”—The Boston Globe “A gritty, harrowing true-crime story.”—Time “A triumph.”—The Seattle Times BONUS: This edition includes an excerpt from John Grisham’s The Litigators.",http://books.google.com/books/content?id=vtENwqjzRxMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Audacity of Hope,"#1 NEW YORK TIMES BESTSELLER • Barack Obama’s lucid vision of America’s place in the world and call for a new kind of politics that builds upon our shared understandings as Americans, based on his years in the Senate “In our lowdown, dispiriting era, Obama’s talent for proposing humane, sensible solutions with uplifting, elegant prose does fill one with hope.”—Michael Kazin, The Washington Post In July 2004, four years before his presidency, Barack Obama electrified the Democratic National Convention with an address that spoke to Americans across the political spectrum. One phrase in particular anchored itself in listeners’ minds, a reminder that for all the discord and struggle to be found in our history as a nation, we have always been guided by a dogged optimism in the future, or what Obama called “the audacity of hope.” The Audacity of Hope is Barack Obama’s call for a different brand of politics—a politics for those weary of bitter partisanship and alienated by the “endless clash of armies” we see in congress and on the campaign trail; a politics rooted in the faith, inclusiveness, and nobility of spirit at the heart of “our improbable experiment in democracy.” He explores those forces—from the fear of losing to the perpetual need to raise money to the power of the media—that can stifle even the best-intentioned politician. He also writes, with surprising intimacy and self-deprecating humor, about settling in as a senator, seeking to balance the demands of public service and family life, and his own deepening religious commitment. At the heart of this book is Barack Obama’s vision of how we can move beyond our divisions to tackle concrete problems. He examines the growing economic insecurity of American families, the racial and religious tensions within the body politic, and the transnational threats—from terrorism to pandemic—that gather beyond our shores. And he grapples with the role that faith plays in a democracy—where it is vital and where it must never intrude. Underlying his stories is a vigorous search for connection: the foundation for a radically hopeful political consensus. Only by returning to the principles that gave birth to our Constitution, Obama says, can Americans repair a political process that is broken, and restore to working order a government that has fallen dangerously out of touch with millions of ordinary Americans. Those Americans are out there, he writes—“waiting for Republicans and Democrats to catch up with them.”",http://books.google.com/books/content?id=k85pcYttpW0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Audacity of Hope,"#1 NEW YORK TIMES BESTSELLER • Barack Obama’s lucid vision of America’s place in the world and call for a new kind of politics that builds upon our shared understandings as Americans, based on his years in the Senate “In our lowdown, dispiriting era, Obama’s talent for proposing humane, sensible solutions with uplifting, elegant prose does fill one with hope.”—Michael Kazin, The Washington Post In July 2004, four years before his presidency, Barack Obama electrified the Democratic National Convention with an address that spoke to Americans across the political spectrum. One phrase in particular anchored itself in listeners’ minds, a reminder that for all the discord and struggle to be found in our history as a nation, we have always been guided by a dogged optimism in the future, or what Obama called “the audacity of hope.” The Audacity of Hope is Barack Obama’s call for a different brand of politics—a politics for those weary of bitter partisanship and alienated by the “endless clash of armies” we see in congress and on the campaign trail; a politics rooted in the faith, inclusiveness, and nobility of spirit at the heart of “our improbable experiment in democracy.” He explores those forces—from the fear of losing to the perpetual need to raise money to the power of the media—that can stifle even the best-intentioned politician. He also writes, with surprising intimacy and self-deprecating humor, about settling in as a senator, seeking to balance the demands of public service and family life, and his own deepening religious commitment. At the heart of this book is Barack Obama’s vision of how we can move beyond our divisions to tackle concrete problems. He examines the growing economic insecurity of American families, the racial and religious tensions within the body politic, and the transnational threats—from terrorism to pandemic—that gather beyond our shores. And he grapples with the role that faith plays in a democracy—where it is vital and where it must never intrude. Underlying his stories is a vigorous search for connection: the foundation for a radically hopeful political consensus. Only by returning to the principles that gave birth to our Constitution, Obama says, can Americans repair a political process that is broken, and restore to working order a government that has fallen dangerously out of touch with millions of ordinary Americans. Those Americans are out there, he writes—“waiting for Republicans and Democrats to catch up with them.”",http://books.google.com/books/content?id=k85pcYttpW0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
In an Instant,"A deeply moving story of carrying on even when it seems impossible. Life is over in an instant for sixteen-year-old Finn Miller when a devastating car accident tumbles her and ten others over the side of a mountain. Suspended between worlds, she watches helplessly as those she loves struggle to survive. Impossible choices are made, decisions that leave the survivors tormented with grief and regret. Unable to let go, Finn keeps vigil as they struggle to reclaim their shattered lives. Jack, her father, who seeks vengeance against the one person he can blame other than himself; her best friend, Mo, who bravely searches for the truth as the story of their survival is rewritten; her sister Chloe, who knows Finn lingers and yearns to join her; and her mother, Ann, who saved them all but is haunted by her decisions. Finn needs to move on, but how can she with her family still in pieces? Heartrending yet ultimately redemptive, In an Instant is a story about the power of love, the meaning of family, and carrying on...even when it seems impossible.",http://books.google.com/books/content?id=3kfiwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Long Way Gone,"My new friends have begun to suspect I haven't told them the full story of my life. ""Why did you leave Sierra Leone?"" ""Because there is a war."" ""You mean, you saw people running around with guns and shooting each other?"" ""Yes, all the time."" ""Cool."" I smile a little. ""You should tell us about it sometime."" ""Yes, sometime."" This is how wars are fought now: by children, hopped-up on drugs and wielding AK-47s. Children have become soldiers of choice. In the more than fifty conflicts going on worldwide, it is estimated that there are some 300,000 child soldiers. Ishmael Beah used to be one of them. What is war like through the eyes of a child soldier? How does one become a killer? How does one stop? Child soldiers have been profiled by journalists, and novelists have struggled to imagine their lives. But until now, there has not been a first-person account from someone who came through this hell and survived. In A Long Way Gone, Beah, now twenty-five years old, tells a riveting story: how at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he'd been picked up by the government army, and Beah, at heart a gentle boy, found that he was capable of truly terrible acts. This is a rare and mesmerizing account, told with real literary force and heartbreaking honesty.",http://books.google.com/books/content?id=ywPHigvy3AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Moonwalking with Einstein,"The blockbuster phenomenon that charts an amazing journey of the mind while revolutionizing our concept of memory An instant bestseller that is poised to become a classic, Moonwalking with Einstein recounts Joshua Foer's yearlong quest to improve his memory under the tutelage of top ""mental athletes."" He draws on cutting-edge research, a surprising cultural history of remembering, and venerable tricks of the mentalist's trade to transform our understanding of human memory. From the United States Memory Championship to deep within the author's own mind, this is an electrifying work of journalism that reminds us that, in every way that matters, we are the sum of our memories. From the Trade Paperback edition.",http://books.google.com/books/content?id=-Ac81W-ZQDEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
At the Center of the Storm,"An account of the war on terror by a former CIA director traces the author's intelligence career, offers insight into the agency's inner workings, and discusses how America was both prepared and unprepared for the September 11 attacks. 300,000 first printing.",http://books.google.com/books/content?id=F2nSTwbFAh0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
God Is Not Great,"Christopher Hitchens, described in the London Observer as “one of the most prolific, as well as brilliant, journalists of our time” takes on his biggest subject yet–the increasingly dangerous role of religion in the world. In the tradition of Bertrand Russell’s Why I Am Not a Christian and Sam Harris’s recent bestseller, The End Of Faith, Christopher Hitchens makes the ultimate case against religion. With a close and erudite reading of the major religious texts, he documents the ways in which religion is a man-made wish, a cause of dangerous sexual repression, and a distortion of our origins in the cosmos. With eloquent clarity, Hitchens frames the argument for a more secular life based on science and reason, in which hell is replaced by the Hubble Telescope’s awesome view of the universe, and Moses and the burning bush give way to the beauty and symmetry of the double helix. From the Hardcover edition.",http://books.google.com/books/content?id=8kgjU4wbM5oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Assault on Reason,"Now With a New Preface and Final Chapter: “Post-Truth: On Donald Trump and the 2016 Election” What has happened to our country and how can we fix it? We are in the midst of a deepening crisis for our democracy. After the strangest election cycle in modern American history it is important that we address the grave threats to our way of life that were glaringly revealed in this campaign. In The Assault on Reason, Nobel Peace Prize winner and former Vice President Al Gore examines how faith in the power of reason—the idea that citizens can govern themselves through rational debate—is in peril. Our democracy depends on a well-informed citizenry and a two-way conversation about ideas, but our public sphere has been degraded by fake news and the politics of fear, partisanship, and blind faith. Now updated to investigate the rise of Trump and post-truth politics, The Assault on Reason is a call to rebuild the vitality of American democracy by restoring the nation’s information ecosystem so that we can start making good decisions again.",http://books.google.com/books/content?id=AGFDIwcyQ4AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Reagan Diaries,"During his two terms as the 40th President of the United States, Ronald Reagan kept a daily diary in which he recorded, by hand, his innermost thoughts and observations on the extraordinary, the historic, and the routine day-to-day occurrences of his presidency. Now, nearly two decades after he left office, this remarkable record—the only daily Presidential diary in American history—is available for the first time. Edited by historian Douglas Brinkley, The Reagan Diaries provides a striking insight into one of this nation’s most important presidencies and sheds new light on the character of a true American leader. Whether he was in his White House residence study or aboard Air Force One, each night Reagan wrote about the events of his day, which often included his relationships with other world leaders and the unforgettable moments that defined the era. Seldom before has the American public been given access to the unfiltered experiences and opinions of a President in his own words. To read these diaries—filled with Reagan’s trademark wit, sharp intelligence, and humor—is to gain a unique understanding of one of the most beloved occupants of the Oval Office in our nation’s history.",http://books.google.com/books/content?id=MhR5a-2nrhoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Diana Chronicles,"Years after her death, Princess Diana remains a mystery. Was she “the people’s princess,” who electrified the world with her beauty and humanitarian missions? Or was she a manipulative, media-savvy neurotic who nearly brought down the monarchy? Only Tina Brown, former Editor-in-Chief of Tatler, England’s glossiest gossip magazine; Vanity Fair; and The New Yorker could possibly give us the truth. Tina knew Diana personally and has far-reaching insight into the royals and the Queen herself. In The Diana Chronicles, you will meet a formidable female cast and understand as never before the society that shaped them: Diana's sexually charged mother, her scheming grandmother, the stepmother she hated but finally came to terms with, and bad-girl Fergie, her sister-in-law, who concealed wounds of her own. Most formidable of them all was her mother-in-law, the Queen, whose admiration Diana sought till the day she died. Add Camilla Parker-Bowles, the ultimate ""other woman"" into this combustible mix, and it's no wonder that Diana broke out of her royal cage into celebrity culture, where she found her own power and used it to devastating effect.",http://books.google.com/books/content?id=TOgnHjKG_6sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Lone Survivor,"In June 2005 four US Navy SEALs left their base in Afghanistan for the Pakistani border. Their mission was to capture or kill a notorious al-Qaeda leader known to be ensconced in a Taliban stronghold surrounded by a small but heavily armed force. Less than twenty-four hours later, only one of those Navy SEALs was alive. This is the story of team leader Marcus Luttrell, the sole survivor of Operation Redwing. Blasted unconscious by a rocket grenade, blown over a cliff, but still armed and still breathing, Luttrell endured four desperate days fighting the al-Qaeda assassins sent to kill him, before finding unlikely sanctuary with a Pashtun tribe who risked everything to protect him from the circling Taliban killers.",http://books.google.com/books/content?id=EDnpZdqkBAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Quiet Strength,"This inspiring book on the faith, the hope, and the heart of a woman who changed a nation gives the account of her infamous stand against injustice as well as the lasting impact it has made.",http://books.google.com/books/content?id=KlaUWwan3xUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
It's All About Him,"Alan and Denise Jackson's life seemed like a fairy tale: high school sweethearts marry young and leave small-town Georgia to pursue big dreams in Music City. They pay their dues, work hard, weather deep disappointments. Then their dreams come true. In fairy tales, the Jacksons' material success?plus their ""perfect"" marriage, their three beautiful daughters, and their supportive families?would have signaled a happily-ever-after ending. But real life is different from fairy tales. At the pinnacle of their success, the Jacksons separated. For Alan, musical renown fame, and wealth still did not make up for the marital problems the Jacksons had struggled with for years. And for Denise, building her life around Alan and riding the tide of his success had somehow left her hollow, unsure of just who she really was. You don't have to be rich and famous to go through struggles like these. Sooner or later, we all come to the point when we relize that real joy and peace isn't just around the corner of the next achievement, the next relationship, the next new thing. That's why Alan and Denise Jackson's story isn't just a great read and a dramatic, intimate look at the golden world of celebrity. It's a story of the greatest love of all, the love that will never let you go . . . and how to find it, no matter who you are, where you live, or what you've done. ""Denise's story is an inside perspective on the results of the ups and downs of fame. Her personal struggles with life's ordinary and extraordinary consequences, her passion to have a stronger marriage, and her desire to have a closer walk with God make for a truly inspiring life."" ?Carrie Underwood, 2005 American Idol Winner, ACM & CMA Female Vocalist of the Year",http://books.google.com/books/content?id=_X3d0lYsTO0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
You Can Run But You Can't Hide,"""Freeze!"" Duane ""Dog"" Chapman entertains and inspires millions on Dog the Bounty Hunter, his #1-rated show on A&E -- but there is more to his story. From troubled beginnings and tragedy to triumph and transformation, he reveals all for the first time in this no-holds-barred memoir. Dog spent the first twenty-three years of his life on the wrong side of the law. In You Can Run, but You Cant Hide, he offers an inside look at his days as a gang member; his dark years of addiction and abuse; and how serving eighteen months in prison for a murder he didnt commit helped him recommit to his faith. He also shares stories of some of his most dangerous bounty hunts -- including his capture of Max Factor heir and convicted rapist Andrew Luster, which made international headlines. In You Can Run, but You Cant Hide, Dog recounts his incredible story, chronicling his journey from his onetime criminal past to the guiding faith that has led him to become one of the most successful bounty hunters in American history. Against all odds, Dog turned his life around and went from ex-con to American icon in the process. This is his story.",http://books.google.com/books/content?id=vPoSPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Quiet Strength,"This inspiring book on the faith, the hope, and the heart of a woman who changed a nation gives the account of her infamous stand against injustice as well as the lasting impact it has made.",http://books.google.com/books/content?id=KlaUWwan3xUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Wonderful Tonight,"An iconic figure of the 1960s and ’70s, Pattie Boyd breaks a forty-year silence in Wonderful Tonight, and tells the story of how she found herself bound to two of the most addictive, promiscuous musical geniuses of the twentieth century and became the most famous muse in the history of rock and roll. She met the Beatles in 1964 when she was cast as a schoolgirl in A Hard Day’s Night. Ten days later a smitten George Harrison proposed. For twenty-year-old Pattie Boyd, it was the beginning of an unimaginably rich and complex life as she was welcomed into the Beatles inner circle—a circle that included Mick Jagger, Ron Wood, Jeff Beck, and a veritable who’s who of rock musicians. She describes the dynamics of the group, the friendships, the tensions, the musicmaking, and the weird and wonderful memories she has of Paul and Linda, Cynthia and John, Ringo and Maureen, and especially the years with her husband, George. It was a sweet, turbulent life, but one that would take an unexpected turn, starting with a simple note that began “dearest l.” I read it quickly and assumed that it was from some weirdo; I did get fan mail from time to time.... I thought no more about it until that evening when the phone rang. It was Eric [Clapton]. “Did you get my letter?”... And then the penny dropped. “Was that from you?” I said....It was the most passionate letter anyone had ever written me.For the first time Pattie Boyd, former wife of both George Harrison and Eric Clapton, a high-profile model whose face epitomized the swinging London scene of the 1960s, a woman who inspired Harrison’s song “Something” and Clapton’s anthem “Layla,” has decided to write a book that is rich and raw, funny and heartbreaking—and totally honest and open and breathtaking. Here is the truth, here is what happened, here is the story you’ve been waiting for.",http://books.google.com/books/content?id=CNhh0TMLmmwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Giving,"Here, from Bill Clinton, is a call to action. Giving is an inspiring look at how each of us can change the world. First, it reveals the extraordinary and innovative efforts now being made by companies and organizations-and by individuals-to solve problems and save lives both 'down the street and around the world'. Then it urges us to seek out what each of us, 'regardless of income, available time, age, and skills', can do to help, to give people a chance to live out their dreams. Bill Clinton shares his own experiences and those of other givers, representing a global flood tide of nongovernmental, nonprofit activity. These remarkable stories demonstrate that gifts of time, skills, things, and ideas are as important and effective as contributions of money. From Bill and Melinda Gates to a six-year-old California girl named McKenzie Steiner, who organized and supervised drives to clean up the beach in her community, Clinton introduces us to both well-known and unknown heroes of giving. Clinton writes about men and women who traded in their corporate careers, and the fulfillment they now experience through giving. He writes about energy-efficient practices, about progressive companies going green, about promoting fair wages and decent working conditions around the world. He shows us how one of the most important ways of giving can be an effort to change, improve, or protect a government policy. He outlines what we as individuals can do, the steps we can take, how much we should consider giving, and why our giving is so important. Bill Clinton's own actions in his post-presidential years have had an enormous impact on the lives of millions. Through his foundation and his work in the aftermath of the Asian tsunami and Hurricane Katrina, he has become an international spokesperson and model for the power of giving.",http://books.google.com/books/content?id=PBtIBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Power to the People!,"How would you like to own a world class body-whatever your present condition- by doing only two exercises, for twenty minutes a day? A body so lean, ripped and powerful looking, you won't believe your own reflection when you catch yourself in the mirror. And what if you could do it without a single supplement, without having to waste your time at a gym and with only a 150 bucks of simple equipment? And how about not only being stronger than you've ever been in your life, but having higher energy and better performance in whatever you do? How would you like to have an instant download of the world's absolutely most effective strength secrets? To possess exactly the same knowledge that created world-champion athletes-and the strongest bodies of their generation? Pavel Tsatsouline's Power to the People!-Russian Strength Training Secrets for Every American delivers all of this and more.",http://books.google.com/books/content?id=Yii-zP1H2QIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Age of Turbulence,"From the bestselling author of The Map and the Territory and Capitalism in America The Age Of Turbulence is Alan Greenspan’s incomparable reckoning with the contemporary financial world, channeled through his own experiences working in the command room of the global economy longer and with greater effect than any other single living figure. Following the arc of his remarkable life’s journey through his more than eighteen-year tenure as chairman of the Federal Reserve Board to the present, in the second half of The Age of Turbulence Dr. Greenspan embarks on a magnificent tour d’horizon of the global economy. The distillation of a life’s worth of wisdom and insight into an elegant expression of a coherent worldview, The Age of Turbulence will stand as Alan Greenspan’s personal and intellectual legacy.",http://books.google.com/books/content?id=WcebhdfeC34C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
My Grandfather's Son,"Provocative, inspiring, and unflinchingly honest, My Grandfather's Son is the story of one of America's most remarkable and controversial leaders, Supreme Court Justice Clarence Thomas, told in his own words. Thomas speaks out, revealing the pieces of his life he holds dear, detailing the suffering and injustices he has overcome, including the acrimonious and polarizing Senate hearing involving a former aide, Anita Hill, and the depression and despair it created in his own life and the lives of those closest to him. In this candid and deeply moving memoir, a quintessential American tale of hardship and grit, Clarence Thomas recounts his astonishing journey for the first time.",http://books.google.com/books/content?id=7hAEZz1Xx8wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
I Am America (and So Can You!),"Stephen Colbert was The Daily Show's longest-running and most memorable correspondent. His right-wing, super-patriotic persona, his insight and general rightness led to The Colbert Report, a half-hour TV platform for his views on the issues of the day and, more importantly, why everyone else's views are just plain wrong. I Am America (And So Can You!) features Stephen's most deeply held knee-jerk beliefs on everything from The Family to Race and Immigration and provides the ultimate satirical guide to the glorious marvel that is American Life. He bravely takes on the forces aligned to destroy America - whether they be terrorists, environmentalists, or brand-name breakfast cereals - and tackles difficult issues like religion, sexuality, and nature ('I've never trusted the sea. What's it hiding under there?') With hilarious illustrations and charts ('Things That Are Trying to Turn Me Gay', 'Sports to Ignore' and many more) and a complete transcript of Colbert's infamous speech at the 2006 White House Correspondents' Dinner, this is a brilliantly funny book as well as a very clever commentary on America today.",http://books.google.com/books/content?id=QaYbM0Fvch8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
An Inconvenient Book,"FUNNY. OUTRAGEOUS. TRUE. Have you ever wondered why some of the biggest problems we face, from illegal immigration to global warming to poverty, never seem to get fixed? The reason is simple: the solutions just aren't very convenient. Fortunately, radio and television host Glenn Beck doesn't care much about convenience; he cares about common sense. Take the issue of poverty, for example. Over the last forty years, America's ten poorest cities all had one simple thing in common, but self-serving politicians will never tell you what that is (or explain how easy it would be to change): Glenn Beck will (see chapter 20). Global warming is another issue that's ripe with lies and distortion. How many times have you heard that carbon dioxide is responsible for huge natural disasters that have killed millions of people? The truth is, it's actually the other way around: as CO2 has increased, deaths from extreme weather have decreased. Bet you'll never see that in an Al Gore slide show. An Inconvenient Book contains hundreds of these same ""why have I never heard that before?"" types of facts that will leave you wondering how political correctness, special interests, and outright stupidity have gotten us so far away from the commonsense solutions this country was built on. As the host of a nationally syndicated radio show, The Glenn Beck Program, and a prime-time television show on CNN Headline News, Glenn Beck combines a refreshing level of honesty with a biting sense of humor and a lot of research to find solutions that will open your eyes while entertaining you along the way.",http://books.google.com/books/content?id=vTUouErmu0YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
In Defense of Food,Cites the reasons why people have become so confused about their dietary choices and discusses the importance of enjoyable moderate eating of mostly traditional plant foods.,http://books.google.com/books/content?id=iOZFDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
