author,year,genre,title,description,thumbnail
,2006,fiction,The Husband,"On an ordinary afternoon, an ordinary man, a gardener of modest means, gets a phone call out of his worst nightmare. The caller is dead serious. He doesn't care that Mitch can't raise that kind of money. He's confident that Mitch will find a way. If he loves his wife enough... Mitch does love her enough. He loves her more than life itself. He's got sixty hours to prove it. He has to find the two million by then. But he'll pay a lot more. From its tense opening to its shattering climax, The Husband is a thriller that will hold you in its relentless grip for every twist, every shock, every revelation. This is a Dean Koontz novel, after all. And there's no other experience quite like it.",http://books.google.com/books/content?id=IIgn1qUy518C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Twelve Sharp,"Welcome to Trenton, New Jersey, where bounty hunter Stephanie Plum's life is about to implode in Janet Evanovich's wildest, hottest novel yet! FIRST A STRANGER APPEARS While chasing down the usual cast of miscreants and weirdos Stephanie discovers that a crazed woman is stalking her. THEN THE STRANGER REVEALS HER SECRETS The woman dresses in black, carries a 9mm Glock, and has a bad attitude and a mysterious connection to dark and dangerous Carlos Manoso ...street name, Ranger. NEXT, SOMEBODY DIES The action turns deadly serious, and Stephanie goes from hunting skips to hunting a murderer. SOON, THE CHASE IS ON Ranger needs Stephanie for more reasons than he can say. And now, the two are working together to find a killer, rescue a missing child, and stop a lunatic from raising the body count. When Stephanie Plum and Ranger get too close for comfort, vice cop Joe Morelli (her on-again, off-again boyfriend) steps in. Will the ticking clock stop at the stroke of twelve, or will a stranger in the wind find a way to stop Stephanie Plum...forever? Filled with Janet Evanovich's trademark action, nonstop adventure, and sharp humor, Twelve Sharp shows why her novels have been called ""hot stuff"" (The New York Times), and Evanovich herself ""the master"" (San Francisco Examiner).",http://books.google.com/books/content?id=5EhuaDkSQ50C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Angels Fall,"Seeking refuge from her past in Angel's Fist, Wyoming, Reece Gilmore witnesses a possible murder, but when all evidence of the crime vanishes, no one seems to believe her, except for Brody, a gruff loner who becomes her only hope of escaping a killer.",http://books.google.com/books/content?id=EwimDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Phantom,,http://books.google.com/books/content?id=wyF5iNTasrcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Angels Fall,"Seeking refuge from her past in Angel's Fist, Wyoming, Reece Gilmore witnesses a possible murder, but when all evidence of the crime vanishes, no one seems to believe her, except for Brody, a gruff loner who becomes her only hope of escaping a killer.",http://books.google.com/books/content?id=EwimDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Judge and Jury,,http://books.google.com/books/content?id=7kgv-5tgtCAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Rise and Shine,"From Anna Quindlen, acclaimed author of Blessings, Black and Blue, and One True Thing, a superb novel about two sisters, the true meaning of success, and the qualities in life that matter most. It’s an otherwise ordinary Monday when Meghan Fitzmaurice’s perfect life hits a wall. A household name as the host of Rise and Shine, the country’s highest-rated morning talk show, Meghan cuts to a commercial break–but not before she mutters two forbidden words into her open mike. In an instant, it’s the end of an era, not only for Meghan, who is unaccustomed to dealing with adversity, but also for her younger sister, Bridget, a social worker in the Bronx who has always lived in Meghan’s long shadow. The effect of Meghan’s on-air truth telling reverberates through both their lives, affecting Meghan’s son, husband, friends, and fans, as well as Bridget’s perception of her sister, their complex childhood, and herself. What follows is a story about how, in very different ways, the Fitzmaurice women adapt, survive, and manage to bring the whole teeming world of New York to heel by dint of their smart mouths, quick wits, and the powerful connection between them that even the worst tragedy cannot shatter.",http://books.google.com/books/content?id=_5BJ3PDOOlsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,The Book of Fate,"""Six minutes from now, one of us would be dead. None of us knew it was coming."" So says Wes Holloway, a young presidential aide, about the day he put Ron Boyle, the chief executive's oldest friend, into the president's limousine. By the trip's end, a crazed assassin would permanently disfigure Wes and kill Boyle. Now, eight years later, Boyle has been spotted alive. Trying to figure out what really happened takes Wes back into disturbing secrets buried in Freemason history, a decade-old presidential crossword puzzle, and a two-hundred-year-old code invented by Thomas Jefferson that conceals secrets worth dying for.",http://books.google.com/books/content?id=LbFmIsN9TK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,The Thirteenth Tale,"Biographer Margaret Lea returns one night to her apartment above her father's antiquarian bookshop. On her steps she finds a letter. It is a hand-written request from one of Britain’s most prolific and well-loved novelists. Vida Winter, gravely ill, wants to recount her life story before it is too late, and she wants Margaret to be the one to capture her history. The request takes Margaret by surprise–she doesn’t know the author, nor has she read any of Miss Winter’s dozens of novels. Late one night, while pondering whether to accept the task of recording Miss Winter’s personal story, Margaret begins to read her father’s rare copy of Miss Winter’s Thirteen Tales of Change and Desperation. She is spellbound by the stories and confused when she realizes the book only contains twelve stories. Where is the thirteenth tale? Intrigued, Margaret agrees to meet Miss Winter and act as her biographer. As Vida Winter unfolds her story, she shares with Margaret the dark family secrets that she has long kept hidden as she remembers her days at Angelfield, the now burnt-out estate that was her childhood home. Margaret carefully records Miss Winter’s account and finds herself more and more deeply immersed in the strange and troubling story. In the end, both women have to confront their pasts and the weight of family secrets. As well as the ghosts that haunt them still.",http://books.google.com/books/content?id=VFRGwWaZkfQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,For One More Day International Edition,"This is the story of Charley, a child of divorce who is always forced to choose between his mother and his father. He grows into a man and starts a family of his own. But one fateful weekend, he leaves his mother to secretly be with his father--and she dies while he is gone. This haunts him for years. It unravels his own young family. It leads him to depression and drunkenness. One night, he decides to take his life. But somewhere between this world and the next, he encounters his mother again, in their hometown, and gets to spend one last day with her--the day he missed and always wished he'd had. He asks the questions many of us yearn to ask, the questions we never ask while our parents are alive. By the end of this magical day, Charley discovers how little he really knew about his mother, the secret of how her love saved their family, and how deeply he wants the second chance to save his own.",http://books.google.com/books/content?id=LAtHPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
,2006,fiction,Lisey's Story,"Two years after losing her husband of twenty-five years, Lisey looks back at the sometimes frightening intimacy that marked their marriage, her husband's successes as an award-winning novelist, and his secretive nature that established Lisey's supernatural belief systems, on which she eventually comes to depend for survival. Reprint. 50,000 first printing.",http://books.google.com/books/content?id=u5aJe6Mb0YIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Dear John,"After losing her parents in a fatal accident, Marin must step at once into their shoes: her mother's to take care of her brother, John; her father's to run the advertising agency he founded. Her brother has Downs syndrome and has stayed at home most of his life, and Marin refuses to place him in an institution, despite the urgings of family and friends to do so. Phillip Wilder helps bring disabled and non-disabled people together by placing clients in jobs throughout the city. But when he receives a call from Marin Brooks, who hopes to use his service only as a day-care facility for her brother, he balks. What holds her back from letting her brother get a job? Will God help these two, who seem perfect for each other, reconcile their differences?",http://books.google.com/books/content?id=H_Q4wB6jkdQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Cross-Cultural Psychology,"Substantially revised, best-selling textbook, two new chapters on emotion and language, user-friendly new format.",http://books.google.com/books/content?id=Z_7k7Xj28ncC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Barack Obama,2007,nonfiction,The Audacity of Hope,"#1 NEW YORK TIMES BESTSELLER • Barack Obama’s lucid vision of America’s place in the world and call for a new kind of politics that builds upon our shared understandings as Americans, based on his years in the Senate “In our lowdown, dispiriting era, Obama’s talent for proposing humane, sensible solutions with uplifting, elegant prose does fill one with hope.”—Michael Kazin, The Washington Post In July 2004, four years before his presidency, Barack Obama electrified the Democratic National Convention with an address that spoke to Americans across the political spectrum. One phrase in particular anchored itself in listeners’ minds, a reminder that for all the discord and struggle to be found in our history as a nation, we have always been guided by a dogged optimism in the future, or what Obama called “the audacity of hope.” The Audacity of Hope is Barack Obama’s call for a different brand of politics—a politics for those weary of bitter partisanship and alienated by the “endless clash of armies” we see in congress and on the campaign trail; a politics rooted in the faith, inclusiveness, and nobility of spirit at the heart of “our improbable experiment in democracy.” He explores those forces—from the fear of losing to the perpetual need to raise money to the power of the media—that can stifle even the best-intentioned politician. He also writes, with surprising intimacy and self-deprecating humor, about settling in as a senator, seeking to balance the demands of public service and family life, and his own deepening religious commitment. At the heart of this book is Barack Obama’s vision of how we can move beyond our divisions to tackle concrete problems. He examines the growing economic insecurity of American families, the racial and religious tensions within the body politic, and the transnational threats—from terrorism to pandemic—that gather beyond our shores. And he grapples with the role that faith plays in a democracy—where it is vital and where it must never intrude. Underlying his stories is a vigorous search for connection: the foundation for a radically hopeful political consensus. Only by returning to the principles that gave birth to our Constitution, Obama says, can Americans repair a political process that is broken, and restore to working order a government that has fallen dangerously out of touch with millions of ordinary Americans. Those Americans are out there, he writes—“waiting for Republicans and Democrats to catch up with them.”",http://books.google.com/books/content?id=k85pcYttpW0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Suzanne Redfearn,2007,nonfiction,In an Instant,"A deeply moving story of carrying on even when it seems impossible. Life is over in an instant for sixteen-year-old Finn Miller when a devastating car accident tumbles her and ten others over the side of a mountain. Suspended between worlds, she watches helplessly as those she loves struggle to survive. Impossible choices are made, decisions that leave the survivors tormented with grief and regret. Unable to let go, Finn keeps vigil as they struggle to reclaim their shattered lives. Jack, her father, who seeks vengeance against the one person he can blame other than himself; her best friend, Mo, who bravely searches for the truth as the story of their survival is rewritten; her sister Chloe, who knows Finn lingers and yearns to join her; and her mother, Ann, who saved them all but is haunted by her decisions. Finn needs to move on, but how can she with her family still in pieces? Heartrending yet ultimately redemptive, In an Instant is a story about the power of love, the meaning of family, and carrying on...even when it seems impossible.",http://books.google.com/books/content?id=3kfiwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ishmael Beah,2007,nonfiction,A Long Way Gone,"My new friends have begun to suspect I haven't told them the full story of my life. ""Why did you leave Sierra Leone?"" ""Because there is a war."" ""You mean, you saw people running around with guns and shooting each other?"" ""Yes, all the time."" ""Cool."" I smile a little. ""You should tell us about it sometime."" ""Yes, sometime."" This is how wars are fought now: by children, hopped-up on drugs and wielding AK-47s. Children have become soldiers of choice. In the more than fifty conflicts going on worldwide, it is estimated that there are some 300,000 child soldiers. Ishmael Beah used to be one of them. What is war like through the eyes of a child soldier? How does one become a killer? How does one stop? Child soldiers have been profiled by journalists, and novelists have struggled to imagine their lives. But until now, there has not been a first-person account from someone who came through this hell and survived. In A Long Way Gone, Beah, now twenty-five years old, tells a riveting story: how at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he'd been picked up by the government army, and Beah, at heart a gentle boy, found that he was capable of truly terrible acts. This is a rare and mesmerizing account, told with real literary force and heartbreaking honesty.",http://books.google.com/books/content?id=ywPHigvy3AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
